id,icon,title,desc
int,string,string,string
1,icon_game_police,竞选警长,警长通过竞选产生，由未参加竞选的玩家进行投票，获得更多选票的当选警长。\n\n警长投票算作1.5票，在白天可以指定对自己有利的发言顺序，且最后享有归票权。
2,witch,女巫,女巫有一瓶救药和一瓶毒药。救药可以晚上救一个被狼人杀死的玩家，毒药可以再晚上毒死一个玩家。\n\n女巫不能一晚上使用两瓶药，且只有第一天可以自救。
3,hunter,猎人,猎人死亡时，可以发动技能开枪带走一位玩家。但死于女巫毒药时，不能发动技能。
4,idiocy,白痴,白痴若白天公投吃票最多，翻牌不出局。\n\n白痴依旧存活，且到自己的轮次还是能够发言，但是丧失投票权利。
5,guard,守卫,守卫每天晚上可以守护一个玩家，但不能连续2个晚上守同一个人。
6,people,平民,无特殊能力。白天可以通过分析和推理帮助好人投杀狼人。
7,wolf,狼,每天晚上可以商量杀1人，若平刀，则以战斗力高的人为主。\n丘比局则平安夜。
8,whitewolf,白狼,每天晚上可以睁眼杀人，且在白天发言阶段，可自爆带走一个玩家。
9,cupid,丘比特,"丘比特可以在第一天制定任意两人(包括自己)成为情侣，情侣中有一人死去，另一人自动殉情。\n\n胜利条件：\n如果制定的两人是人人情侣或者狼狼情侣，则丘比特胜利条件和好人相同。
\n如果指定的情侣是人狼情侣，则爱神和情侣组成第三方阵营，需要除掉其他玩家。"
10,robbers,盗贼,第一晚夜里睁眼，系统会给到2张牌，可以选取1张作为自己的身份牌。\n有狼人必须选择狼人作为自己的底牌。
11,game_role_hunxueer,混血儿,第一晚夜里睁眼，指定一个人成为自己的主人，胜利条件和他的主人一致，但没有主人的技能。
